clicks,impressions,ctr,position
23577,34451,0.6843632985980088,1.0026414327595716
10834,142149,0.0762158017291715,6.119156659561446
8763,37676,0.23258838517889371,2.3493205223484446
7548,36091,0.20913801224682055,3.4640769166828296
6834,51417,0.13291323881206604,2.795359511445631
5885,103942,0.0566181139481634,4.1916260991706915
5690,50842,0.11191534558042564,3.178513827150781
4974,26812,0.18551394897806953,1.789832910637028
4785,87936,0.05441457423580786,4.88170942503639
4707,11014,0.4273651715997821,1.042037406936626
4654,591196,0.007872177754923916,6.933206584618299
4517,21128,0.21379212419538055,2.044206739871261
4279,26487,0.16155094952240723,3.124136368784687
4002,170757,0.023436813717739244,6.44934029058838
3827,32282,0.1185490366148318,1.0029737934452636
3649,15481,0.23570828757832182,3.813836315483496
3621,9636,0.3757783312577833,1.5011415525114156
3493,41520,0.08412813102119461,2.598145472061657
3399,14221,0.23901272765628295,3.6575486955910272
3020,635053,0.004755508595345586,8.214404152094392
3009,113724,0.026458794977313495,5.024040659843129
2921,9298,0.31415358141535815,1.4321359432135943
2859,63357,0.04512524267247502,13.18217402970469
2784,10009,0.2781496653012289,2.278849035867719
2619,8596,0.30467659376454165,1.8591205211726385
2543,3385,0.7512555391432791,1.0144756277695717
2306,2303108,0.001001255694478939,7.508991762435804
2031,519147,0.003912186721679986,15.008879951150638
1973,5214,0.3784042961258151,2.00939777522056
1962,7152,0.27432885906040266,5.165687919463087
1886,9962,0.18931941377233488,2.5371411363180085
1868,13214,0.14136521870743152,5.060012108369911
1862,61103,0.030473135525260625,7.7551675040505375
1768,7149,0.2473073157084907,1.2554203385088822
1760,4573,0.38486770172753115,1.865733654056418
1739,123548,0.014075501019846537,5.894405413280668
1670,53094,0.0314536482465062,8.535973933024447
1581,43721,0.036161112508863016,8.636330367557925
1580,9876,0.159983799108951,1.1009518023491291
1526,19954,0.07647589455748222,4.096973037987371
1468,5513,0.2662797025213133,2.3192454199165606
1464,21678,0.0675339053418212,4.466924993080543
1455,17251,0.08434293664135413,6.334531331517013
1412,43882,0.03217720249760722,4.386559409325008
1374,459771,0.0029884442472448243,8.166000030449942
1338,85446,0.015659012709781615,10.304414484001592
1322,16164,0.0817866864637466,19.234224201930214
1292,13825,0.09345388788426763,4.788065099457505
1272,34395,0.036982119494112516,5.647128943160343
1260,16264,0.07747171667486473,2.837555336940482
1252,40493,0.03091892425851382,8.044032301879337
1171,3843,0.30470986208691125,1.9084048920114494
1161,7017,0.16545532278751604,3.0380504489097904
1126,13957,0.08067636311528266,3.115425951135631
1123,11546,0.09726312142733415,4.907413822968993
1104,6803,0.16228134646479495,1.6591209760399823
1096,13432,0.08159618820726623,6.365321620011912
1072,3631,0.29523547232167446,1.6422473147893142
1069,5300,0.20169811320754716,2.4679245283018867
1068,2815,0.37939609236234456,1.1911190053285967
1063,4395,0.24186575654152445,2.240500568828214
1062,2387,0.4449099287808965,1.4281524926686218
1040,23542,0.04417636564438026,6.560572593662391
1032,24534,0.04206407434580582,6.348210646449825
1028,8735,0.11768746422438466,2.774813966800229
1002,2930,0.34197952218430033,2.745051194539249
977,15837,0.06169097682641914,5.975310980615015
967,10394,0.09303444294785453,9.257071387338849
955,15535,0.06147409076279369,4.806115223688446
952,3490,0.27277936962750715,1.3315186246418338
951,39643,0.0239891027419721,4.8265015261206266
946,33858,0.02794022092267706,8.612587866973833
937,1573,0.5956770502225047,1.4335664335664335
888,8220,0.10802919708029197,2.7669099756691
859,8703,0.09870159715040791,5.177869700103413
854,2324,0.3674698795180723,1.8253012048192772
827,2668,0.30997001499250376,2.9872563718140928
825,17948,0.045966124359260084,5.416536661466458
823,3079,0.26729457616109126,1.3825917505683663
787,23393,0.03364254264096097,6.0739109990168
761,70873,0.010737516402579262,9.454376137598238
761,10092,0.07540626238604836,1.0618311533888227
758,1955,0.3877237851662404,1.160613810741688
757,20756,0.036471381769127,7.70654268645211
757,28000,0.027035714285714284,10.446785714285713
699,4772,0.14647946353730093,4.797150041911149
689,22004,0.03131248863842938,4.754680967096892
689,11453,0.060158910329171394,5.408189993888064
683,2191,0.3117298037425833,1.8480146052031037
680,22573,0.030124485004208567,6.656758073804988
677,4462,0.1517256835499776,2.798072613177947
676,8905,0.07591240875912408,5.5782144862436835
667,3160,0.2110759493670886,2.3765822784810124
662,8541,0.07750848846739258,1.9330289193302892
660,3060,0.21568627450980393,2.4915032679738562
640,24593,0.026023665270605456,7.053592485666653
630,1101,0.5722070844686649,1.008174386920981
630,1523,0.41365725541694026,1.9586342744583058
